,Year,Coal Consumption,Natural Gas Consumption (Excluding Supplemental Gaseous Fuels),Petroleum Consumption (Excluding Biofuels),Total Fossil Fuels Consumption,Nuclear Electric Power Consumption,Biomass Energy Consumption,Geothermal Energy Consumption,Hydroelectric Power Consumption,Solar Energy Consumption,Wind Energy Consumption,Total Renewable Energy Consumption,Total Primary Energy Consumption,CSIRO - Adjusted sea level (inches),NOAA - Adjusted sea level (inches),Precipitation Change,Temperature Change (Celcius)
0,1949,11.980905,5.145142,11.868994,28.988371,0.0,1.549262,0.0,0.323365,0.0,0.0,1.872627,30.866419,3.51181102,0.0,0.36,0.0
1,1950,12.347109,5.968371,13.298283,31.614755,0.0,1.562307,0.0,0.344218,0.0,0.0,1.906525,33.527374,3.598425193,0.0,0.93,0.0
2,1951,12.552996,7.048518,14.407674,33.987736,0.0,1.534669,0.0,0.356131,0.0,0.0,1.8908,35.885997,3.972440941,0.0,1.31,0.0
3,1952,11.306479,7.549621,14.933895,33.778116,0.0,1.474369,0.0,0.374325,0.0,0.0,1.848694,35.63455,3.870078736,0.0,-3.6,0.0
4,1953,11.372684,7.906645,15.531959,34.802286,0.0,1.418601,0.0,0.374015,0.0,0.0,1.792616,36.601753,4.043307082,0.0,-1.63,0.0
5,1954,9.714667,8.330202,15.813334,33.851458,0.0,1.394327,0.0,0.380915,0.0,0.0,1.775242,35.634683,3.929133854,0.0,-3.79,0.0
6,1955,11.167259,8.997935,17.225269,37.380419,0.0,1.424143,0.0,0.396597,0.0,0.0,1.82074,39.215038,3.964566925,0.0,-2.2,0.0
7,1956,11.349723,9.613975,17.904978,38.855656,0.0,1.415871,0.0,0.427307,0.0,0.0,1.843178,40.714353,3.763779524,0.0,-4.56,0.0
8,1957,10.820631,10.190753,17.89839,38.892315,0.000112,1.333581,0.0,0.455017,0.0,0.0,1.788598,40.693313,4.291338578,0.0,3.93,0.0
9,1958,9.533287,10.663199,18.49119,38.680955,0.001915,1.323123,0.0,0.490013,0.0,0.0,1.813136,40.507326,4.346456688,0.0,0.29,0.0
10,1959,9.518353,11.717422,19.279894,40.507312,0.002187,1.352874,0.0,0.481619,0.0,0.0,1.834493,42.356119,4.358267712,0.0,0.66,0.0
11,1960,9.837785,12.385366,19.873507,42.091028,0.006026,1.31987,0.000114,0.509889,0.0,0.0,1.829873,43.942401,4.503937003,0.0,-1.19,0.0
12,1961,9.623351,12.926392,20.169333,42.711189,0.019678,1.294762,0.000321,0.53069,0.0,0.0,1.825773,44.564329,4.748031491,0.0,1.31,0.0
13,1962,9.906454,13.730841,20.997591,44.62938,0.026394,1.300242,0.000343,0.586917,0.0,0.0,1.887502,46.545105,4.543307082,0.0,-1.34,0.0
14,1963,10.412538,14.403306,21.645265,46.45372,0.038147,1.323316,0.000573,0.576594,0.0,0.0,1.900483,48.392685,4.480314956,0.0,-4.24,0.0
15,1964,10.964385,15.28785,22.241894,48.483687,0.039819,1.336802,0.000695,0.615189,0.0,0.0,1.952686,50.482863,4.169291334,0.0,0.32,0.0
16,1965,11.580608,15.768667,23.1839,50.514724,0.043164,1.334761,0.000646,0.672111,0.0,0.0,2.007517,52.564923,4.610236216,0.0,-0.14,0.0
17,1966,12.14308,16.995332,24.335358,53.448822,0.064158,1.368985,0.000641,0.675363,0.0,0.0,2.044989,55.561695,4.397637791,0.0,-2.48,0.0
18,1967,11.91375,17.944788,25.273959,55.117171,0.088456,1.340249,0.001079,0.767525,0.0,0.0,2.108853,57.31346,4.452755901,0.0,-0.34,0.0
